"Country","Region","Construction_end","steel","copper","aluminum","unspecified_metal","wood","paper_cardboard","straw","concrete","cement","aggregates","brick","mortar_plaster","mineral_fill","plaster_board_gypsum","Adobe","Asphalt","Bitumen","natural_stone","cement_asbestos","Clay","siding_unspecified","Ceramics","Glass","Plastics","Polystyrene","PVC","Lineoleum","Carpet","Heraklith","Mineral_wool","full_volume"
"China","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Grenada","0",0,0.0635397859040674,0,0,0,0.0544926973014126,0,0,0.786931565123957,0,0.0950359516705627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"India","0",0,0,0,0,0,0.00180928054491273,0,0,0.298053158907738,0,0,0.522125852017845,0.0458554689928462,0.132156239536658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Switzerland","0",0,0,0,0,0.000629986711550666,0.029665167483911,0,0,0.513863877020698,0,0,0.191828213884406,0.261018333818369,0,0,0,0,0,0,0,0,0,0,0.00299442108106427,0,0,0,0,0,0,0,1
"Indonesia","Bandung",0,0.0136479832095582,0,0,0.000166093721941991,0.0588818430290089,0,0,0.00489564911085584,0.0810026030592156,0.308835381704884,0.00143347040092984,0,0,0.0033136379043182,0,0,0,0.305016094618482,0.00016201676834043,0.203271621621052,0,0.0181596125729877,0.00121399227842542,0,0,0,0,0,0,0,1
"Peru","Chiclayo",0,0.0157653618649349,0,0,0,0.00793484196149261,0,0,0.545960074324456,0,0,0.108621896145352,0.107968537511072,0,0,0.212117166657131,0,0,0,0,0,0,0,0.000899923975746759,0,0,0.000732197559815497,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",0,0,0,0,0.0170511534617833,0.0120361083239061,0,0,0.429287863593224,0,0.136409227678347,0.403209628888601,0,0,0,0,0,0,0,0,0,0,0,0.00200601805413844,0,0,0,0,0,0,0,1
"Indonesia","Jakarta",0,0.0131802153426157,0,0,0.000203225395855078,0.0618098200674501,0,0,0.0072436078706997,0.0793170091816685,0.303239274593714,0,0,0,0.00450213718501915,0,0,0,0.309496481901574,0.00128498288481283,0.200066522153325,0,0.0192064052706432,0.00045031815262353,0,0,0,0,0,0,0,1
"USA","Los Angeles",0,0.157243809635135,0,0,0,0.0806939913218511,0,0,0.762062199043014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Vienna",0,0.0339118475249497,0.000158920136259997,0.000445027514979304,5.15791700362524e-07,0.0280415150349472,2.6989399328983e-05,0,0.847128191236327,0,0.0122971344738625,0.01672547561809,0.0104756492208742,0.00617766408491245,0.022078120932877,0,0.00175354428967382,0.00389453928263134,0.000387161165679695,0,0,0,0.00163080307236974,0.00298252051558012,0.00324399681551432,0.00305254281228677,3.48871815714517e-05,1.47685340584797e-05,7.32665282455613e-06,0.000812729373792239,0.00471812933490855,1
"Sweden","0",1891,0.00414364640883978,0,0,0,0.0524861878453039,0,0,0.0117403314917127,0,0.299723756906077,0.629834254143646,0,0,0,0,0,0,0,0,0,0,0,0.00207182320441989,0,0,0,0,0,0,0,1
"Norway","0",1900,0,0,0,0,0.857971014492754,0,0,0.142028985507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1901,0.0170441590413337,0,0,0,0.156367201600401,0,0,0.0422724593523236,0,0.394939421741237,0.31574524527966,0,0.0701783315393946,0,0,0,0,0,0,0,0,0,0.00345318144564964,0,0,0,0,0,0,0,1
"Sweden","0",1911,0.0368967458298597,0,0,0,0.100304134325959,0,0,0.103170905058423,0,0.296619977139846,0.442935709881158,0,0.0165847665847666,0,0,0,0,0,0,0,0,0,0.00348776117998666,0,0,0,0,0,0,0,1
"Austria","Vienna",1918,0.00933410296509033,0.000184761880642355,0.000112723212627876,8.08910515941057e-05,0.0303418387728304,0,0,0.0967482465559931,0.00059029836053263,0,0.652983182621584,0.20423063885302,0.000276778014660005,0.00169430982899892,0,0,8.57896388616176e-05,4.06230802403459e-05,1.20604871629104e-05,0,0,0.00125101518039465,0.000909712091316502,0.00071970673579963,0,0.00017092771162799,9.77930954858698e-05,0,4.49218325919345e-05,8.96780289453755e-05,1
"Germany","0",1919,0,0,0,0.000239377618192699,0.037964608857526,0,0,0.0697657986640643,0,0,0.56617087258207,0.199707337490595,0.0466786355475763,0.0794733692399761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Norway","0",1920,0,0,0,0,0.533490011750881,0,0,0.466509988249119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1921,0.0102040816326531,0,0,0,0.0981626019855396,0,0,0.0615900531393489,0,0.518666946735357,0.308189061106566,0,0,0,0,0,0.00108342361863489,0,0,0,0,0,0.00210383178190019,0,0,0,0,0,0,0,1
"Sweden","0",1931,0.0469561722491117,0,0,0,0.145101402890796,0,0,0.356080694928401,0,0.134353846160118,0.286772674583958,0,0.0236108468240185,0,0,0,0.00350425339590634,0,0,0,0,0,0.0036201089676896,0,0,0,0,0,0,0,1
"Germany","0",1939,0,0,0,0,0.0687830687768533,0,0,0.0899470899445597,0,0,0.555555555561331,0.285714285717256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Norway","0",1940,0,0,0,0,0.35,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1941,0.0318548387096774,0.0076271186440678,0,0,0.122539639147075,0,0,0.35659513395298,0,0.0999863313285949,0.244354838709677,0,0.111297156916348,0.0186440677966102,0,0,0.00338983050847458,0,0,0,0,0,0.00371104428649535,0,0,0,0,0,0,0,1
"Norway","0",1945,0,0,0,0,0.189919965390439,0,0,0.810080034609561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","0",1946,0,0,0,0.0232558139498544,0.0139534883681165,0,0,0.55348837207299,0,0,0.134883720939689,0.269767441879379,0,0,0,0,0.00465116278997087,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Austria","Vienna",1946,0.0117314940695627,0.00014448888404294,0.000189903241733752,1.05631689050489e-05,0.0207136681107044,0,0,0.433108588939933,0.00262478766165041,0,0.379976361461994,0.138856020591504,0.000516453290140756,0.00455306057751982,0,0.00108268208830448,0.000869822957570934,0.000565737270280513,0.000847560507781526,0,0,0.00109416122337228,0.00133800128027944,0.000831344818528807,8.8460171473149e-05,0.000169897886981369,6.69705415763264e-05,0,0.000468936450505279,0.00015103480565479,1
"Germany","0",1949,0,0,0,0.0246052148365773,0.0110172603745869,0,0,0.142857142857143,0,0,0.447668013220712,0,0.139184722732281,0.2346676459787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Japan","0",1949,0.0684623367162774,0,0.00388082455791123,0,0.119445453603414,0,0,0.446196604859124,0,0.227211817035016,0,0.0459370096508057,0,0,0,0,0,0,0,0,0,0.0804189189738789,0.00844703460357333,0,0,0,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",1949,0,0,0,0.0100502512562726,0.0522613065516418,0,0,0.200000000000689,0,0.198994974874199,0.536683417065943,0,0,0,0,0,0,0,0,0,0,0,0.00201005025125452,0,0,0,0,0,0,0,1
"Sweden","0",1950,0.127360941252087,0,0,0,0.0243204399175155,0,0,0.383971755295882,0,0.0106227106227106,0.381086581980164,0,0.0695476740968211,0,0,0,0,0,0,0,0,0,0.00308989683481966,0,0,0,0,0,0,0,1
"USA","Los Angeles",1950,0.0179372197294659,0,0,0,0.230941704080924,0,0,0.75112107618961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1951,0.0764025448235975,0,0,0,0.253788316946212,0,0,0.502544823597455,0,0.0609022556390977,0.0285135916714864,0,0.0593406593406593,0,0,0,0.0037593984962406,0,0,0,0,0,0.0059572006940428,0,0,0,0,0,0,0.00879120879120879,1
"Japan","0",1958,0.0659956304290585,0,0.00272159373580064,0,0.080792289675163,0,0,0.569107285872956,0,0.181633231015216,0,0.0404412317979532,0,0,0,0,0,0,0,0,0,0.0535568407077489,0.00575189676610367,0,0,0,0,0,0,0,1
"China","0",1960,0.0106852802546541,0,0,0,0.0090468308543112,0,0,0,0.0842490738458148,0.541373616448907,0.333838396461017,0.0192035698827496,0,0,0,0.000801616126272788,0,0,0,0,0,0,0.000801616126272788,0,0,0,0,0,0,0,1
"Norway","0",1960,0,0,0,0,0.159473684210526,0,0,0.840526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1961,0.112247936389498,0,0,0,0.0355873906014395,0,0,0.639604707830061,0,0.00732950924155513,0.132157425111536,0,0.0558096659360475,0.00416666666666667,0,0,0,0,0,0,0,0,0.00268003155652971,0,0,0,0,0,0,0.0104166666666667,1
"Germany","0",1966,0,0,0,0.0334928229675157,0.00956937798679102,0,0,0.248803827766544,0,0,0.43540669856854,0.272727272710609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",1969,0,0,0,0.0200803212839443,0.0210843373494523,0,0,0.453815261042725,0,0.168674698785764,0.33433734940972,0,0,0,0,0,0,0,0,0,0,0,0.00200803212839443,0,0,0,0,0,0,0,1
"Japan","0",1970,0.0841972038647469,0,0.00350984779786408,0,0.125886432285381,0,0,0.422396808517579,0,0.219574251547791,0,0.0590133935270056,0,0,0,0,0,0,0,0,0,0.0774743448392842,0.00794771762034929,0,0,0,0,0,0,0,1
"Norway","0",1970,0,0,0,0,0.119559072922555,0,0,0.880440927077445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","0",1971,0,0,0,0.0447761194029851,0.00497512437810945,0,0,0.796019900497512,0,0,0,0.149253731343284,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1971,0.150278293135436,0,0,0,0.098330241187384,0,0,0.684601113172542,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0.00185528756957328,0,0,0,0,0,0,0.051948051948052,1
"New_Zealand","0",1972,0.0965711457789487,0.011468481843197,0,0.00172180359814048,0.0640540818011494,0,0,0.669486540276147,0,0,0.0331251108783732,0.0227143617439806,0,0.0850443989939621,0,0,0.000481059226947945,0,0.0107379291646426,0,0,0,0.00429629214445256,0,0,0.000298794550058846,0,0,0,0,1
"Austria","Vienna",1977,0.0130538368436628,7.98056944954451e-05,0.000190294077077609,1.39437118747789e-05,0.0333350543270671,6.18272960653971e-07,0,0.546182970785255,0.00172207094618283,0.0136167964747312,0.271756700660243,0.104557300441299,0.0012012823445719,0.000812949905667147,0,0,0.00185804511991401,3.90520998172899e-05,0.000517598782678085,0,0,0.00464492755599009,0.00208051596819095,0.00182781094209052,3.27231570381462e-05,8.67178352082077e-05,5.9236243682938e-05,3.14090356722142e-06,0.00113726818790033,0.0011893387188344,1
"Germany","0",1979,0,0,0,0.0539033457249071,0.00557620817843866,0,0,0.532527881040892,0,0,0.20771375464684,0,0.0329925650557621,0.16728624535316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"China","0",1980,0.0121254619123375,0,0,0,0.011213951637304,0,0,0,0.112724882337019,0.668132923636392,0.179433917416328,0.0144181626783197,0,0,0,0.000896634825911036,0,0,0,0,0,0,0.00105406555638963,0,0,0,0,0,0,0,1
"Japan","0",1980,0.0507382518008447,0,0.00229033989535544,0,0.0820416103311245,0,0,0.631743454826485,0,0.150378042254939,0,0.0458199021733084,0,0,0,0,0,0,0,0,0,0.0323107770490371,0.00467762166890629,0,0,0,0,0,0,0,1
"Norway","0",1980,0,0,0,0,0.0939758817333188,0,0,0.906024118266681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","0",1981,0,0,0,0.0299249353607387,0.0185101029492222,0,0,0.485127715750307,0,0,0.238864018164451,0.226510271900383,0,0,0,0,0.00106295587489791,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1981,0.121238173307492,0,0,0,0.0479693126927671,0,0,0.707268459764432,0,0,0.0277850015780146,0,0,0.0474599390278575,0,0,0,0,0,0,0,0,0.00316650506694767,0,0.0014810271646935,0,0,0,0,0.0436315813977953,1
"China","0",1990,0.020790444929562,0,0,0,0.0124489186939519,0,0,0,0.136323088279176,0.678826504169742,0.133825483328883,0.0155221208361472,0,0,0,0.00113171988126836,0,0,0,0,0,0,0.00113171988126836,0,0,0,0,0,0,0,1
"Norway","0",1990,0,0,0,0,0.0813768647591098,0,0,0.91862313524089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"China","Beijing",1990,0.0104091406179358,0,0,0,0.0165201034463474,0,0,0,0.140457084905764,0.591398252234796,0.225099816421759,0.0147849563058699,0,0,0,0,0,0,0,0,0,0,0.00133064606752829,0,0,0,0,0,0,0,1
"Germany","0",1991,0,0,0,0.0842271212540265,0.00259991605652194,0,0,0.79793006793394,0,0,0.0357313575525813,0.0426142980106534,0.00848470363288719,0.0268881453154876,0,0,0.00152439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",1991,0.176366941123847,0,0,0,0.0610712586768781,0,0,0.644665125162414,0,0,0,0,0,0.0299540152083516,0,0,0.00287907869481766,0,0,0,0,0,0.00568834002712227,0,0.000959692898272553,0,0,0,0,0.0784155482082971,1
"USA","Los Angeles",1991,0.0215517241426775,0,0,0,0.230603448216531,0,0,0.747844827640792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Luxembourg","Esch-sur-Alzette",1995,0,0,0,0.0201005025123707,0.0150753768835732,0,0,0.472361809054407,0,0.155778894458438,0.334673366839974,0,0,0,0,0,0,0,0,0,0,0,0.00201005025123707,0,0,0,0,0,0,0,1
"New_Zealand","0",1996,0.0961565335975696,0.00733540299628273,0.0133418904245832,0.00243107173349126,0.505989875983701,0,0,0.151612391188446,0,0,0.00448245330470188,0,0,0.195276759850718,0,0,6.75004732943342e-05,0,5.53714819992585e-05,0,0,0,0.00606449564753784,0,0,0.0102041731112919,0,0.0069820802063827,0,0,1
"Austria","Vienna",1997,0.0144240378529733,0.000157301790581011,0.000622925420762752,6.17700517162823e-06,0.0065282887514828,0,0,0.605409445770473,0.00303770606485711,0.00200339165557354,0.259143194135167,0.0927450441119798,0.00142396858113831,0.00343301134374175,0,0,0.000517082588744284,0.0023888459446171,0.000973716956207025,0,0,0.00295100122325706,0.00139084801696065,0.00125676975254344,0.000139475515956165,9.55828724970519e-05,1.29633173697407e-05,0,0.000108134575467471,0.0012310867524782,1
"Japan","0",1999,0.0577762726927405,0,0.00268906286955213,0,0.112866438932966,0,0,0.553632271890029,0,0.166031484945566,0,0.0594624606706946,0,0,0,0,0,0,0,0,0,0.0417155595332803,0.00582644846517162,0,0,0,0,0,0,0,1
"Austria","Vienna",1999,0.0124346064960991,5.79413700395251e-05,0.000164826454453396,1.0994576475817e-05,0.067406956251879,0,0,0.596790694905242,0.00111815314952459,0,0.202855194667113,0.0673109726292583,0.00628542480401393,0.023669795293385,0,0,0.00390083234806027,0.000641392214533498,0.000366667695135659,0,0,0.00165382788507247,0.000965672571443436,0.00125204980136474,0,0,8.66844594211174e-06,0,0.00681990363694998,0.00628542480401393,1
"Netherlands","0",2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UK","0",2000,0.0103605926621309,0,0,0,0.0416432681046581,0,0,0.390796948546079,0,0.117330679885438,0.267569227009863,0.172299283791831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Norway","0",2001,0,0,0,0,0.116662662486895,0,0,0.883337337513105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",2001,0.270438679928106,0,0,0,0.0666407237544295,0,0,0.52713487508007,0,0,0,0,0,0.0390111954218866,0,0,0,0,0,0,0,0,0.0047656573848121,0,0.00307445612094601,0,0,0,0,0.0889344123097495,1
"Italy","Turin",2004,0.0363805537313781,5.65970036178962e-05,3.2826261835566e-05,0,0.00108666246379236,0,0,0.830164844400281,0,0,0.0435796925506308,0.0623698976466468,0,0,0,0,0,0,0,0,0,0.021110682236742,0.00101874605958921,0.00237707413881095,0,0,0,0,0,0.00182242350667532,1
"China","Beijing",2006,0.0210552988713847,0,0,0,0.00898124308642512,0,0,0,0.107562339809071,0.746908799268103,0.115492318965016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"China","0",2007,0.102957352166765,0,0,0,0,0,0,0.569493068537968,0,0,0.307522946925455,0,0,0.0142104328260998,0,0,0.000868415339372767,0,0,0,0,0,0.00494778420433953,0,0,0,0,0,0,0,1
"China","Beijing",2008,0.0299133758223896,0,0,0,0.00537363106536422,0,0,0,0.141060323143161,0.65789776906735,0.165754900901735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Japan","0",2009,0.0484488126120115,0,0.00207671808779635,0,0.0791891585702954,0,0,0.650387314237763,0,0.142505151746929,0,0.043888750036968,0,0,0,0,0,0,0,0,0,0.0292780229680805,0.00422607174015602,0,0,0,0,0,0,0,1
"Thailand","Bangkok",2009,0.0922034124798881,0,0.000100170289490692,0,0.000534241543816795,0,0,0.763618150845441,0,0,0.12505258940018,0.00314534709000772,0,0,0,0,0,0.00347924805484313,0,0,0,0.00840094827995495,0.00346589201637793,0,0,0,0,0,0,0,1
"China","0",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Germany","0",2010,0,0,0,0.117699115019286,0.0336283185854722,0,0,0.551327433637147,0,0,0.293141592935409,0,0,0.00420353982268624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Japan","0",2010,0.0927699745149147,0,0.00169498728445718,0,0.0462021220392369,0,0,0.600142655532879,0.00650252847729478,0.171205513616673,0,0.0584657034840934,0,0,0,0,0,0,0,0,0,0.0198789284199935,0.00313758663045781,0,0,0,0,0,0,0,1
"China","Beijing",2010,0.0912203001239779,0,0.00743348875317409,0,0.00550490376852618,0,0,0,0.569569269950078,0.236872203008043,0.0721985228892366,0.00789574010026811,0,0,0,0,0,0,0,0,0,0,0.00930557140669553,0,0,0,0,0,0,0,1
"Brazil","Rio de Janeiro",2010,0,0,0,0.0215821083797217,0.110309011374736,0,0,0.556039257833527,0.048264383918277,0.206943898430298,0,0.0147124788696605,0,0,0,0,0,0.0031543877132826,0.00150154584475549,0,0,0.0365689149810516,0.000641058086724562,0.000282954567965758,0,0,0,0,0,0,1
"China","0",2011,0.0183908806175199,0,0,0,0.126150828929141,0,0,0,0.0944606634082428,0.560500421296031,0.184935818051884,0.013876869906076,0,0,0,0.000749289330378985,0,0,0,0,0,0,0.000935228460726812,0,0,0,0,0,0,0,1
"Germany","0",2011,0,0,0,0.0586362758827727,0.0105340910046164,0,0,0.460862284593109,0,0,0.32045040582052,0.0550458715791072,0.0228728270814273,0.0693046660567246,0,0,0.00229357798172267,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sweden","0",2011,0.125961306499602,0,0,0,0.0820506775444163,0,0,0.599492176743937,0,0,0,0,0,0.0813790422999228,0,0,0,0,0,0,0,0,0.00393355897840776,0,0.0163345955811579,0,0,0,0,0.090848642352557,1
"USA","Philadelphia",2012,0,0,0.00338560490949592,0.305586618424122,0.0241589012843646,0,0,0.46081856413024,0,0.083618606964979,0.04874363702163,0.00117173186898498,0,0,0,0.00311439668029864,0.026762864892523,0.00107244843636821,0,0,0.027116272188466,0.00144570492867364,0.00627259516718814,0.00673205310266541,0,0,0,0,0,0,1
"Taiwan","Taipei",2014,0.0951089729917401,0,0.00021188108289762,0,0.125305804788471,0,0,0.546830235125244,0,0,0.231046726617975,0,0,0,0,0,0,0,0,0,0,0,0.00149637939367244,0,0,0,0,0,0,0,1
"Macau","Macau",2016,0.173499267935578,0,0,0,0.00585651537335286,0,0,0,0.365300146412884,0.409224011713031,0.0248901903367496,0,0,0,0,0,0,0,0,0,0,0.020497803806735,0.000732064421669107,0,0,0,0,0,0,0,1
